=======================================================================================,
ECMWF ERA5 (0.5x0.5 deg),
Sea Surface Temperature Anomaly (deg C) (1991-2020),
Values averaged across Nino 3.4 (5S-5N; 190E-240E),
---------------------------------------------------------------------------------------,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu),
=======================================================================================,
time,sst
200012,-0.906
200101,-0.638
200102,-0.728
200103,-0.351
200104,-0.150
200105,-0.222
200106,-0.031
200107,0.123
200108,-0.014
200109,-0.211
200110,-0.224
200111,-0.259
200112,-0.413
200201,-0.059
200202,0.235
200203,0.012
200204,0.011
200205,0.173
200206,0.656
200207,0.678
200208,0.953
200209,1.106
200210,1.250
200211,1.472
200212,1.437
200301,1.072
200302,0.618
200303,0.499
200304,-0.124
200305,-0.510
200306,-0.299
200307,0.031
200308,-0.092
200309,0.179
200310,0.374
200311,0.344
200312,0.307
200401,0.052
200402,0.043
200403,-0.156
200404,-0.123
200405,0.078
200406,-0.051
200407,0.376
200408,0.648
200409,0.730
200410,0.635
200411,0.552
200412,0.706
200501,0.481
200502,0.153
200503,0.310
200504,0.138
200505,0.218
200506,0.262
200507,0.119
200508,-0.044
200509,-0.106
200510,0.030
200511,-0.479
200512,-0.717
200601,-0.815
200602,-0.643
200603,-0.769
200604,-0.316
200605,-0.052
200606,0.097
200607,0.053
200608,0.371
200609,0.686
200610,0.749
200611,0.939
200612,1.166
200701,0.720
200702,0.155
200703,-0.116
200704,-0.248
200705,-0.424
200706,-0.181
200707,-0.578
200708,-0.639
200709,-1.170
200710,-1.617
200711,-1.730
200712,-1.589
200801,-1.734
200802,-1.813
200803,-1.196
200804,-1.015
200805,-0.776
200806,-0.579
200807,-0.176
200808,-0.041
200809,-0.276
200810,-0.414
200811,-0.496
200812,-0.909
200901,-0.983
200902,-0.639
200903,-0.542
200904,-0.343
200905,0.090
200906,0.361
200907,0.566
200908,0.649
200909,0.737
200910,0.814
200911,1.375
200912,1.586
201001,1.475
201002,1.154
201003,0.994
201004,0.500
201005,-0.263
201006,-0.769
201007,-1.208
201008,-1.369
201009,-1.510
201010,-1.675
201011,-1.734
201012,-1.777
201101,-1.666
201102,-1.176
201103,-1.003
201104,-0.736
201105,-0.477
201106,-0.351
201107,-0.431
201108,-0.681
201109,-0.773
201110,-1.027
201111,-1.285
201112,-1.070
201201,-1.050
201202,-0.700
201203,-0.581
201204,-0.452
201205,-0.201
201206,0.116
201207,0.335
201208,0.696
201209,0.436
201210,0.236
201211,0.167
201212,-0.155
201301,-0.357
201302,-0.212
201303,-0.038
201304,-0.143
201305,-0.319
201306,-0.348
201307,-0.361
201308,-0.240
201309,-0.024
201310,-0.255
201311,0.016
201312,-0.059
201401,-0.315
201402,-0.420
201403,-0.084
201404,0.136
201405,0.331
201406,0.276
201407,-0.016
201408,0.228
201409,0.442
201410,0.457
201411,0.707
201412,0.696
201501,0.534
201502,0.559
201503,0.459
201504,0.674
201505,0.843
201506,1.013
201507,1.329
201508,1.892
201509,2.105
201510,2.309
201511,2.672
201512,2.578
201601,2.381
201602,2.094
201603,1.499
201604,0.974
201605,0.350
201606,-0.120
201607,-0.393
201608,-0.410
201609,-0.440
201610,-0.528
201611,-0.497
201612,-0.382
201701,-0.308
201702,0.061
201703,0.137
201704,0.225
201705,0.415
201706,0.391
201707,0.327
201708,-0.086
201709,-0.359
201710,-0.475
201711,-0.851
201712,-0.895
201801,-0.706
201802,-0.696
201803,-0.758
201804,-0.557
201805,-0.203
201806,0.104
201807,0.237
201808,0.202
201809,0.283
201810,0.723
201811,0.763
201812,0.786
201901,0.594
201902,0.625
201903,0.865
201904,0.634
201905,0.674
201906,0.499
201907,0.328
201908,-0.012
201909,-0.131
201910,0.434
201911,0.426
201912,0.403
202001,0.503
202002,0.369
202003,0.396
202004,0.306
202005,-0.332
202006,-0.482
202007,-0.295
202008,-0.631
202009,-0.908
202010,-1.346
202011,-1.425
202012,-1.123
202101,-0.968
202102,-0.780
202103,-0.559
202104,-0.589
202105,-0.362
202106,-0.156
202107,-0.268
202108,-0.382
202109,-0.422
202110,-0.952
202111,-0.970
202112,-0.989
202201,-0.841
202202,-0.752
202203,-1.029
202204,-1.116
202205,-1.109
202206,-0.752
202207,-0.682
202208,-0.893
202209,-0.944
202210,-0.923
202211,-1.036
202212,-0.873
202301,-0.682
202302,-0.458
202303,-0.001
202304,0.121
202305,0.485
202306,0.870
202307,1.038
202308,1.368
202309,1.618
202310,1.625
202311,1.824
202312,1.993
202401,1.818
202402,1.602
202403,1.310
202404,0.892
202405,0.274
202406,0.254
202407,0.091
202408,0.024
202409,-0.322
202410,-0.505
202411,-0.267
202412,-0.705
202501,-0.777
202502,-0.416
202503,0.075
202504,-0.134
202505,-0.046
202506,-0.073
202507,-0.180
202508,-0.326
202509,-0.452
202510,-0.561
202511,-0.706
202512,-0.641
202601,-0.530
202602,-0.247
202603,0.023
202604,0.457
202605,0.991
202606,1.45
202607,2.03
